,N2_0.001,N2_0.20658856139779,N2_0.2468256982521,N2_0.3961366707113,N2_0.4553727426045,N2_0.48490510603913,N2_0.54429681146169,N2_0.58803979136156,N2_0.66282116082407,N2_0.76193200308056,N2_0.87427405366775,N2_0.88444245132395,N2_0.91084323489203,N2_0.97593771251528,N2_1.0479878595752,N2_1.0704522936507,N2_1.0960135812413,N2_1.1479723909286,N2_1.1571274147688,N2_1.1675867019028,N2_1.1784761280799,N2_1.2335234321014,N2_1.2495130048039,N2_1.2676054949163,N2_1.276892845606,N2_1.2983799465779,N2_1.372413953766,N2_1.413619219422,N2_1.463419376541,N2_1.4636467722232,N2_1.4768423015942,N2_1.4822156850173,N2_1.54637807299,N2_1.5929778443301,N2_1.6471186883764,N2_1.7081088427035,N2_1.7919372333645,N2_1.7920474986052,N2_1.9233607092492,N2_1.9534298225211,N2_1.9692049473336,N2_1.980629182599,N2_2.0962268451684,N2_2.1184580940762,N2_2.151057358128,N2_2.1556343492756,N2_2.1736222989607,N2_2.199706329159,N2_2.205266221807,N2_2.2328653188136,N2_2.2484547389223,N2_2.2721862879295,N2_2.3140220639078,N2_2.3148651739604,N2_2.4210020186538,N2_2.4503762537286,N2_2.5560635905323,N2_2.5791786150635,N2_2.6032442468791,N2_2.6344283786197,N2_2.7004139971479,N2_2.7248987885959,N2_2.7560123071863,N2_2.7602357442216,N2_2.766544683147,N2_2.7788840656749,N2_2.8002201473186,N2_2.820745192317,N2_2.8938166591973,N2_2.971038868468,N2_3.0406425999505,N2_3.1157519754385,N2_3.1229104781088,N2_3.164394826738,N2_3.2151003729061,N2_3.2429256806451,N2_3.2626334895728,N2_3.2705614054379,N2_3.2745086669267,N2_3.2756963094266,N2_3.2839699209038,N2_3.29238229879,N2_3.3686718036807,N2_3.3780222351218,N2_3.3867417534223,N2_3.4077889199828,N2_3.4163075442202,N2_3.4255679291491,N2_3.467338037762,N2_3.5192930387966,N2_3.5266273421428,N2_3.5715979674029,N2_3.5836419553477,N2_3.5992571895608,N2_3.6091708174982,N2_3.6400783461476,N2_3.6928246435834,N2_3.7680412750571,N2_3.7737325450111,N2_3.7874778331493,N2_3.8503352220946,N2_3.8749597709257,N2_3.8758169545565,N2_3.8770822898236,N2_3.8954654493476,N2_3.9453509596222,N2_3.9563986311593,N2_3.9592369744303,N2_3.9909278928577,N2_4.0059953891776,N2_4.0062037940459,N2_4.0535525136185,N2_4.0670332474994,N2_4.2494391697819,N2_4.2676408796704,N2_4.2797250935582,N2_4.299034785773,N2_4.3042599867545,N2_4.3184332520785,N2_4.3435916840345,N2_4.3587332868021,N2_4.3760024958173,N2_4.3826845233506,N2_4.4271795296634,N2_4.4457547650628,N2_4.4597187320449,N2_4.4751865928049,N2_4.5624546057995,N2_4.5766740994814,N2_4.5834670832706,N2_4.6089321998448,N2_4.6216294718473,N2_4.6314733299702,N2_4.6574193311836,N2_4.6806043900339,N2_4.6885869008469,N2_4.6934321139194,N2_4.7005222960465,N2_4.7010374401481,N2_4.7126127348365,N2_4.7229579089601,N2_4.7526487635561,N2_4.830322122997,N2_4.8409571867982,N2_4.8601629894883,N2_4.8973815764745,N2_4.9103243312984,N2_4.9147636996647,N2_4.9290218549469,N2_4.9334443565945,N2_4.9398709809955,N2_4.9662415253044,N2_4.9678969750208,N2_4.9723381166233,N2_5.001,N2_5.0203436983057,N2_5.2289604776301,N2_5.2991249562968,N2_5.4393798038838,N2_5.4440797041068,N2_5.4629390517476,N2_5.4828250893854,N2_5.5101031062759,N2_5.7202798849614,N2_5.8208987184584,N2_5.8412734631993,N2_5.8927382289956,N2_6.0895992005152,N2_6.1091595651251,N2_6.1401457867615,N2_6.2302956807703,N2_6.3188197474042,N2_6.3941468183818,N2_6.4500507809324,N2_6.5083923854961,N2_6.5648079008296,N2_6.5691332933498,N2_6.6039732154298,N2_6.6294633661691,N2_6.7186321473712,N2_6.7703546740876,N2_6.8761855813111,N2_6.884623867164,N2_6.9653749607134,N2_7.066294353322,N2_7.0731376090304,N2_7.1041838255228,N2_7.1154326792936,N2_7.118098929963,N2_7.2563855265681,N2_7.2749768816932,N2_7.3273741932105,N2_7.4435766874706,N2_7.4449941257602,N2_7.4642411409519,N2_7.4835112763926,N2_7.5300255144831,N2_7.5693171247335,N2_7.6293295338842,N2_7.6616290647524,N2_7.755182761863,N2_7.7926584274121,N2_7.8055300243148,N2_7.8374570792144,N2_7.8807547347931,N2_7.8920435092209,N2_7.9186607225747,N2_7.9531703901801,N2_7.9581017720615,N2_8.0433851462228,N2_8.0938269408888,N2_8.1381438784805,N2_8.233411280144,N2_8.2608600267944,N2_8.2633838593048,N2_8.3185539918445,N2_8.3261832190708,N2_8.3691380124485,N2_8.3822700725918,N2_8.4063806813223,N2_8.5080528419981,N2_8.6077906442138,N2_8.6212798256932,N2_8.7180376219059,N2_8.7424529759998,N2_8.7667017247508,N2_8.8187626443435,N2_8.8520618112061,N2_8.8525223859651,N2_8.8541474399217,N2_8.8812120185008,N2_8.9869554780805,N2_9.2547825868618,N2_9.2558998295152,N2_9.2676408796704,N2_9.299034785773,N2_9.3042599867545,N2_9.3396233197819,N2_9.3435916840345,N2_9.3826845233506,N2_9.4267899454833,N2_9.4271795296634,N2_9.4597187320449,N2_9.4751865928049,N2_9.5234094374235,N2_9.5766740994814,N2_9.5834670832706,N2_9.6574193311836,N2_9.6934321139194,N2_9.7010374401481,N2_9.7126127348365,N2_9.7469810614128,N2_9.830322122997,N2_9.8409571867982,N2_9.8674272821085,N2_9.8973815764745,N2_9.9103243312984,N2_9.9147636996647,N2_9.9374350132989,N2_9.9398709809955,N2_9.9662415253044,N2_9.9723381166233,N2_9.9916168615582,N2_9.9954190676899,N2_10.001,N2_10.140244083263,N2_10.1969438489,N2_10.214586570127,N2_10.281588590404,N2_10.433373558997,N2_10.561570017221,N2_10.706935844497,N2_10.724078198578,N2_10.842250891728,N2_10.966427002888,N2_10.99272296252,N2_11.043520106692,N2_11.250315305608,N2_11.309040628964,N2_11.528283161759,N2_11.688320565852,N2_11.776731531135,N2_11.812325837124,N2_11.815122645438,N2_11.858134985638,N2_11.895955784218,N2_11.994163600669,N2_12.150831030985,N2_12.18196390396,N2_12.265526171235,N2_12.316847844762,N2_12.37173586668,N2_12.443576687471,N2_12.450486068227,N2_12.464241140952,N2_12.483511276393,N2_12.530025514483,N2_12.53744340823,N2_12.569317124733,N2_12.625286044774,N2_12.661629064752,N2_12.669817310627,N2_12.744753211931,N2_12.792658427412,N2_12.892043509221,N2_12.918660722575,N2_12.95317039018,N2_13.00415825653,N2_13.004938964149,N2_13.043385146223,N2_13.121787548283,N2_13.152108455077,N2_13.244254354363,N2_13.326183219071,N2_13.369138012449,N2_13.508052841998,N2_13.607790644214,N2_13.666342699533,N2_13.718037621906,N2_13.742452976,N2_13.818762644343,N2_13.852061811206,N2_13.852522385965,N2_13.863338170419,N2_13.926233631207,N2_13.986955478081,N2_14.043163247594,N2_14.246638568197,N2_14.26764087967,N2_14.299034785773,N2_14.304259986754,N2_14.338246739438,N2_14.343591684035,N2_14.351087798123,N2_14.382684523351,N2_14.427179529663,N2_14.459718732045,N2_14.475186592805,N2_14.576674099481,N2_14.583467083271,N2_14.657419331184,N2_14.690393344412,N2_14.693432113919,N2_14.701037440148,N2_14.712612734837,N2_14.826950625057,N2_14.830322122997,N2_14.840957186798,N2_14.897381576475,N2_14.910324331298,N2_14.914763699665,N2_14.939870980995,N2_14.966241525304,N2_14.972338116623,N2_15.001,N2_15.1969438489,N2_15.281588590404,N2_15.368243780998,N2_15.38937003681,N2_15.561570017221,N2_15.706935844497,N2_15.842250891728,N2_15.847787177556,N2_15.888766836202,N2_15.99272296252,N2_16.250315305608,N2_16.5037894105,N2_16.528283161759,N2_16.599798699473,N2_16.660229901146,N2_16.688320565852,N2_16.812325837124,N2_16.895955784218,N2_16.994163600669,N2_17.150831030985,N2_17.18196390396,N2_17.260698324043,N2_17.265526171235,N2_17.37173586668,N2_17.443576687471,N2_17.450486068227,N2_17.464241140952,N2_17.483511276393,N2_17.530025514483,N2_17.53744340823,N2_17.569317124734,N2_17.625286044774,N2_17.661629064752,N2_17.669817310627,N2_17.744753211931,N2_17.792658427412,N2_17.892043509221,N2_17.918660722575,N2_17.95317039018,N2_18.00415825653,N2_18.004938964149,N2_18.043385146223,N2_18.121787548283,N2_18.152108455077,N2_18.244254354363,N2_18.326183219071,N2_18.369138012448,N2_18.508052841998,N2_18.607790644214,N2_18.666342699533,N2_18.718037621906,N2_18.742452976,N2_18.818762644343,N2_18.852061811206,N2_18.852522385965,N2_18.863338170419,N2_18.926233631207,N2_18.986955478081,N2_19.043163247594,N2_19.246638568197,N2_19.26764087967,N2_19.299034785773,N2_19.304259986754,N2_19.338246739438,N2_19.343591684035,N2_19.351087798123,N2_19.382684523351,N2_19.427179529663,N2_19.459718732045,N2_19.475186592805,N2_19.576674099481,N2_19.583467083271,N2_19.657419331184,N2_19.690393344412,N2_19.693432113919,N2_19.701037440148,N2_19.712612734837,N2_19.826950625057,N2_19.830322122997,N2_19.840957186798,N2_19.897381576475,N2_19.910324331298,N2_19.914763699665,N2_19.939870980995,N2_19.966241525304,N2_19.972338116623,N2_20.001,N2_20.1969438489,N2_20.281588590404,N2_20.368243780998,N2_20.38937003681,N2_20.561570017221,N2_20.706935844497,N2_20.842250891728,N2_20.847787177556,N2_20.888766836202,N2_20.99272296252,N2_21.250315305608,N2_21.5037894105,N2_21.528283161759,N2_21.599798699473,N2_21.660229901146,N2_21.688320565852,N2_21.812325837124,N2_21.895955784218,N2_21.994163600669,N2_22.150831030985,N2_22.18196390396,N2_22.260698324043,N2_22.265526171235,N2_22.37173586668,N2_22.443576687471,N2_22.450486068227,N2_22.464241140952,N2_22.483511276393,N2_22.530025514483,N2_22.53744340823,N2_22.569317124734,N2_22.625286044774,N2_22.661629064752,N2_22.669817310627,N2_22.744753211931,N2_22.792658427412,N2_22.892043509221,N2_22.918660722575,N2_22.95317039018,N2_23.00415825653,N2_23.004938964149,N2_23.043385146223,N2_23.121787548283,N2_23.152108455077,N2_23.244254354363,N2_23.326183219071,N2_23.369138012448,N2_23.508052841998,N2_23.607790644214,N2_23.666342699533,N2_23.718037621906,N2_23.742452976,N2_23.818762644343,N2_23.852061811206,N2_23.852522385965,N2_23.863338170419,N2_23.926233631207,N2_23.986955478081,N2_24.043163247594,N2_24.246638568197,N2_24.26764087967,N2_24.299034785773,N2_24.304259986754,N2_24.338246739438,N2_24.343591684035,N2_24.351087798123,N2_24.382684523351,N2_24.427179529663,N2_24.459718732045,N2_24.475186592805,N2_24.576674099481,N2_24.583467083271,N2_24.657419331184,N2_24.690393344412,N2_24.693432113919,N2_24.701037440148,N2_24.712612734837,N2_24.826950625057,N2_24.830322122997,N2_24.840957186798,N2_24.897381576475,N2_24.910324331298,N2_24.914763699665,N2_24.939870980995,N2_24.966241525304,N2_24.972338116623,N2_25.001,N2_25.1969438489,N2_25.281588590404,N2_25.368243780998,N2_25.38937003681,N2_25.561570017221,N2_25.706935844497,N2_25.842250891728,N2_25.847787177556,N2_25.888766836202,N2_25.99272296252,N2_26.250315305608,N2_26.5037894105,N2_26.528283161759,N2_26.599798699473,N2_26.660229901146,N2_26.688320565852,N2_26.812325837124,N2_26.895955784218,N2_26.994163600669,N2_27.150831030985,N2_27.18196390396,N2_27.260698324043,N2_27.265526171235,N2_27.37173586668,N2_27.443576687471,N2_27.450486068227,N2_27.464241140952,N2_27.483511276393,N2_27.530025514483,N2_27.53744340823,N2_27.569317124734,N2_27.625286044774,N2_27.661629064752,N2_27.669817310627,N2_27.744753211931,N2_27.792658427412,N2_27.892043509221,N2_27.918660722575,N2_27.95317039018,N2_28.00415825653,N2_28.004938964149,N2_28.043385146223,N2_28.121787548283,N2_28.152108455077,N2_28.244254354363,N2_28.326183219071,N2_28.369138012448,N2_28.508052841998,N2_28.607790644214,N2_28.666342699533,N2_28.718037621906,N2_28.742452976,N2_28.818762644343,N2_28.852061811206,N2_28.852522385965,N2_28.863338170419,N2_28.926233631207,N2_28.986955478081,N2_29.043163247594,N2_29.246638568197,N2_29.26764087967,N2_29.299034785773,N2_29.304259986754,N2_29.338246739438,N2_29.343591684035,N2_29.351087798123,N2_29.382684523351,N2_29.427179529663,N2_29.459718732045,N2_29.475186592805,N2_29.576674099481,N2_29.583467083271,N2_29.657419331184,N2_29.690393344412,N2_29.693432113919,N2_29.701037440148,N2_29.712612734837,N2_29.826950625057,N2_29.830322122997,N2_29.840957186798,N2_29.897381576475,N2_29.910324331298,N2_29.914763699665,N2_29.939870980995,N2_29.966241525304,N2_29.972338116623,N2_30.0,Density,henry_coeff
20341N2.cif,0.00015744199754875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85911990879808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6009181482054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3341939838323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0104073633042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7117156281245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2677323104243,0.54873,1.78535e-06
20321N2.cif,0.0003298096173975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174838720897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1765728836421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0572441713114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9521200180197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7417979695236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4737137470012,0.467003,2.4589e-06
21740N2.cif,0.00039518404616283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7136785141283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1086905030028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.338602012226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5230426585709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4732132698832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4381909329377,0.492467,3.76896e-06
20152N2.cif,0.000261072000585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1152679414081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0065044612234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7585500483631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4934835525553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1053572091991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5937754546572,0.591504,2.51321e-06
16490N2.cif,0.00022059579712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85733867188822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5687945856935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1774390708036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7984093460777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2994237630492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7228367147651,0.81882,1.80613e-06
16330N2.cif,0.00019508240823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0491694483283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9470443606405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8132752806511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6116744216335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3915407338339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0349469014775,0.468681,2.23144e-06
16200N2.cif,0.0001417497959627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61766721035935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1347181880257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6324613533813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0751459195744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4992015803178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8658000864081,0.878893,1.29995e-06
13140N2.cif,0.00023532780401323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59752276958173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0895317323447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5303159801098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8516969670903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1312100756478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3478957872004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4474752417735,1.13218,2.15165e-06
20701N2.cif,0.00018629806916682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92807348098483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7859522337548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5041351930438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.157387335087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7497913618879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3050428003283,0.656329,2.05957e-06
21411N2.cif,0.0001981664852327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3569325798153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5763933575114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.728576615561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7072031942051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6602105627121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5291829587074,0.402517,2.9238e-06
19412N2.cif,0.000290541972935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1555600249772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1907728532732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1117555712913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9014447274857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6567674797734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3177308369861,0.488852,2.62891e-06
